AÑO,AREA,NIVEL,GENERO,ENTIDAD,REGION,N
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Hidalgo,Oriente,7
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Jalisco,Occidente,13
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Michoacán,Occidente,11
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Morelos,Centrosur,18
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,México,Centrosur,18
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Nayarit,Occidente,1
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Nuevo León,Noreste,11
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Oaxaca,Suroeste,10
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Puebla,Oriente,14
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Querétaro,Centronorte,8
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Quintana Roo,Sureste,1
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,San Luis Potosí,Centronorte,13
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Sin dato / Extranjero,Sin dato / Extranjero,53
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Sinaloa,Noroeste,5
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Sonora,Noroeste,9
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Tabasco,Sureste,2
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Tamaulipas,Noreste,1
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Tlaxcala,Oriente,7
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Veracruz,Oriente,16
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Yucatán,Sureste,17
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Zacatecas,Centronorte,2
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Aguascalientes,Centronorte,6
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Baja California,Noroeste,8
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Baja California Sur,Noroeste,8
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Campeche,Sureste,2
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Chiapas,Suroeste,6
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Chihuahua,Noroeste,4
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Ciudad de México,Centrosur,145
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Coahuila,Noreste,3
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Colima,Occidente,3
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Durango,Noroeste,2
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Guanajuato,Centronorte,24
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Guerrero,Suroeste,3
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Hidalgo,Oriente,5
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Jalisco,Occidente,15
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Michoacán,Occidente,9
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Morelos,Centrosur,26
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,México,Centrosur,22
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Nayarit,Occidente,8
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Nuevo León,Noreste,10
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Oaxaca,Suroeste,10
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Puebla,Oriente,10
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Querétaro,Centronorte,9
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Quintana Roo,Sureste,6
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,San Luis Potosí,Centronorte,12
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Sin dato / Extranjero,Sin dato / Extranjero,59
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Sinaloa,Noroeste,9
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Sonora,Noroeste,12
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Tabasco,Sureste,7
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Tamaulipas,Noreste,1
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Tlaxcala,Oriente,2
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Veracruz,Oriente,25
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Yucatán,Sureste,15
2015,BIOLOGÍA Y QUÍMICA,C,MUJER,Zacatecas,Centronorte,3
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Aguascalientes,Centronorte,8
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Baja California,Noroeste,12
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Baja California Sur,Noroeste,30
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Campeche,Sureste,10
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Chiapas,Suroeste,19
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Chihuahua,Noroeste,26
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Ciudad de México,Centrosur,54
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Coahuila,Noreste,50
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Colima,Occidente,8
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Durango,Noroeste,25
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Guanajuato,Centronorte,27
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Guerrero,Suroeste,12
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Hidalgo,Oriente,16
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Jalisco,Occidente,27
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Michoacán,Occidente,25
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Morelos,Centrosur,28
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,México,Centrosur,129
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Nayarit,Occidente,22
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Nuevo León,Noreste,35
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Oaxaca,Suroeste,24
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Puebla,Oriente,21
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Querétaro,Centronorte,18
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Quintana Roo,Sureste,1
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,San Luis Potosí,Centronorte,21
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Sin dato / Extranjero,Sin dato / Extranjero,17
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Sinaloa,Noroeste,45
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Sonora,Noroeste,36
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Tabasco,Sureste,23
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Tamaulipas,Noreste,24
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Tlaxcala,Oriente,2
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Veracruz,Oriente,38
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Yucatán,Sureste,41
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,HOMBRE,Zacatecas,Centronorte,17
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Aguascalientes,Centronorte,3
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Baja California,Noroeste,14
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Baja California Sur,Noroeste,16
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Campeche,Sureste,9
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Chiapas,Suroeste,14
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Chihuahua,Noroeste,14
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Ciudad de México,Centrosur,81
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Coahuila,Noreste,19
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Durango,Noroeste,10
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Guanajuato,Centronorte,13
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Guerrero,Suroeste,1
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Hidalgo,Oriente,10
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Jalisco,Occidente,21
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Michoacán,Occidente,14
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Morelos,Centrosur,21
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,México,Centrosur,81
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Nayarit,Occidente,8
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Nuevo León,Noreste,36
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Oaxaca,Suroeste,12
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Puebla,Oriente,16
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Querétaro,Centronorte,21
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Quintana Roo,Sureste,1
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,San Luis Potosí,Centronorte,16
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Sin dato / Extranjero,Sin dato / Extranjero,9
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Sinaloa,Noroeste,17
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Sonora,Noroeste,31
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Tabasco,Sureste,4
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Tamaulipas,Noreste,16
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Tlaxcala,Oriente,7
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Veracruz,Oriente,29
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Yucatán,Sureste,28
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,MUJER,Zacatecas,Centronorte,1
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,HOMBRE,Aguascalientes,Centronorte,3
2015,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,HOMBRE,Baja California,Noroeste,7
